endpoint,seed,type,sample_id,shift_score,dice,dice_drop,risk_rank
predicted_mask,42,high_shift_high_drop,MCUCXR_0309_1,6.763485166859362,0.8142935528146188,0.1660889530858115,7.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0311_1,6.450708542014901,0.8449006853315586,0.1354818205688717,11.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0061_0,7.768034765373897,0.899731581551534,0.08065092434889631,14.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0126_1,6.064703730622127,0.8546145659129835,0.12576793998744684,14.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0117_1,5.697519037589692,0.8589217919530527,0.12146071394737756,17.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0080_0,7.077571141921483,0.9171974522309073,0.06318505366952298,22.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0348_1,5.404707192583175,0.8884468367281841,0.09193566917224616,22.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0251_1,4.7503746531662525,0.7862775955918597,0.19410491030857058,24.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0052_0,5.863118651283224,0.915485784476535,0.06489672142389535,26.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0367_1,7.210706563906633,0.934836548247312,0.04554595765311831,31.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0354_1,1.1331708265236602,0.9783724195857008,0.0020100863147295422,271.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0023_0,0.8342196026407032,0.9776628206352052,0.002719685265225147,269.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0099_0,1.5960184582329033,0.9806594953392305,-0.00027698943880016813,267.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0030_0,1.4533329276586129,0.9747767342232673,0.0056057716771630295,261.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0254_1,1.313030073321659,0.9700249268604723,0.010357579039958043,249.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0083_0,1.5463984486946143,0.9709289712329087,0.009453534667521635,248.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0051_0,1.3475408526797141,0.9693962948830726,0.01098621101735775,247.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0090_0,1.6015873893036638,0.9718881727612081,0.00849433313922221,247.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0063_0,2.1693817698830853,0.9782706617900734,0.0021118441103569197,246.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0102_0,1.9841984999301039,0.9733733572404095,0.007009148660020781,245.0
mask_free,42,high_shift_high_drop,MCUCXR_0309_1,4.858170881785649,0.8142935528146188,0.1660889530858115,10.0
mask_free,42,high_shift_high_drop,MCUCXR_0311_1,5.38055578963388,0.8449006853315586,0.1354818205688717,11.0
mask_free,42,high_shift_high_drop,MCUCXR_0258_1,4.598996013642102,0.8068604713903396,0.17352203451009074,12.0
mask_free,42,high_shift_high_drop,MCUCXR_0061_0,6.076701327242118,0.899731581551534,0.08065092434889631,16.0
mask_free,42,high_shift_high_drop,MCUCXR_0126_1,4.211151623962547,0.8546145659129835,0.12576793998744684,20.0
mask_free,42,high_shift_high_drop,MCUCXR_0080_0,6.588275461475105,0.9171974522309073,0.06318505366952298,21.0
mask_free,42,high_shift_high_drop,MCUCXR_0113_1,4.467336084797146,0.891387606796973,0.08899489910345726,22.0
mask_free,42,high_shift_high_drop,MCUCXR_0017_0,4.785274403457775,0.9001143991302895,0.08026810677014085,23.0
mask_free,42,high_shift_high_drop,MCUCXR_0348_1,4.192961264036488,0.8884468367281841,0.09193566917224616,25.0
mask_free,42,high_shift_high_drop,MCUCXR_0052_0,4.797819767856035,0.915485784476535,0.06489672142389535,25.0
mask_free,42,low_shift_low_drop,MCUCXR_0023_0,0.5485561203172001,0.9776628206352052,0.002719685265225147,266.0
mask_free,42,low_shift_low_drop,MCUCXR_0099_0,1.0335864809761588,0.9806594953392305,-0.00027698943880016813,260.0
mask_free,42,low_shift_low_drop,MCUCXR_0030_0,0.8141520374645441,0.9747767342232673,0.0056057716771630295,258.0
mask_free,42,low_shift_low_drop,MCUCXR_0090_0,0.2562694188616217,0.9718881727612081,0.00849433313922221,257.0
mask_free,42,low_shift_low_drop,MCUCXR_0354_1,1.3064288325805964,0.9783724195857008,0.0020100863147295422,252.0
mask_free,42,low_shift_low_drop,MCUCXR_0102_0,1.1586074276631386,0.9733733572404095,0.007009148660020781,245.0
mask_free,42,low_shift_low_drop,MCUCXR_0254_1,0.8006615566791736,0.9700249268604723,0.010357579039958043,244.0
mask_free,42,low_shift_low_drop,MCUCXR_0338_1,0.3344555220756198,0.9672136050680001,0.013168900832430164,240.0
mask_free,42,low_shift_low_drop,MCUCXR_0069_0,1.5861126174579985,0.9745270275672829,0.005855478333147368,239.0
mask_free,42,low_shift_low_drop,MCUCXR_0255_1,1.401733968419011,0.972977425133857,0.007405080766573313,238.0
